capacity,fitness,generation
6752.941176470588,2.385010858043371,15
6752.941176470588,2.385010858043371,16
6752.941176470588,2.385010858043371,16
6752.941176470588,2.385010858043371,16
6752.941176470588,2.385010858043371,16
6752.941176470588,2.385010858043371,16
6752.941176470588,2.385010858043371,16
6752.941176470588,2.385010858043371,16
6752.941176470588,2.385010858043371,16
7035.294117647059,2.7847385638942983,16
6752.941176470588,2.385010858043371,16
6752.941176470588,2.385010858043371,16
6752.941176470588,2.385010858043371,16
6752.941176470588,2.385010858043371,16
6752.941176470588,2.385010858043371,16
6752.941176470588,2.385010858043371,16
6752.941176470588,2.385010858043371,16
6752.941176470588,2.385010858043371,16
6752.941176470588,2.385010858043371,16
6752.941176470588,2.385010858043371,16
6752.941176470588,2.385010858043371,16
6752.941176470588,2.385010858043371,16
6752.941176470588,2.385010858043371,16
6752.941176470588,2.385010858043371,16
6752.941176470588,2.385010858043371,16
6752.941176470588,2.385010858043371,16
6752.941176470588,2.385010858043371,16
6752.941176470588,2.385010858043371,16
6752.941176470588,2.385010858043371,16
2235.2941176470586,inf,16
7317.64705882353,3.271191787957197,16
6752.941176470588,2.385010858043371,16
2800.0,inf,16
6752.941176470588,2.385010858043371,17
6752.941176470588,2.385010858043371,17
6682.35294117647,inf,17
6752.941176470588,2.385010858043371,17
6752.941176470588,2.385010858043371,17
7035.294117647059,2.7847385638942983,17
6752.941176470588,2.385010858043371,17
6752.941176470588,2.385010858043371,17
5623.529411764706,inf,17
6752.941176470588,2.385010858043371,17
6752.941176470588,2.385010858043371,17
6752.941176470588,2.385010858043371,17
6752.941176470588,2.385010858043371,17
6752.941176470588,2.385010858043371,17
6752.941176470588,2.385010858043371,17
6752.941176470588,2.385010858043371,17
6752.941176470588,2.385010858043371,17
6752.941176470588,2.385010858043371,17
6752.941176470588,2.385010858043371,17
6752.941176470588,2.385010858043371,17
6752.941176470588,2.385010858043371,17
6752.941176470588,2.385010858043371,17
6752.941176470588,2.385010858043371,17
2517.6470588235297,inf,17
6752.941176470588,2.385010858043371,17
6752.941176470588,2.385010858043371,17
6752.941176470588,2.385010858043371,17
6752.941176470588,2.385010858043371,17
6752.941176470588,2.385010858043371,17
6752.941176470588,2.385010858043371,17
6752.941176470588,2.385010858043371,17
6752.941176470588,2.385010858043371,17
6752.941176470588,2.385010858043371,18
6752.941176470588,2.385010858043371,18
6752.941176470588,2.385010858043371,18
6752.941176470588,2.385010858043371,18
6752.941176470588,2.385010858043371,18
6752.941176470588,2.385010858043371,18
6752.941176470588,2.385010858043371,18
6858.823529411765,2.5775757959920966,18
6752.941176470588,2.385010858043371,18
6682.35294117647,inf,18
6752.941176470588,2.385010858043371,18
6752.941176470588,2.385010858043371,18
6752.941176470588,2.385010858043371,18
6752.941176470588,2.385010858043371,18
6752.941176470588,2.385010858043371,18
6894.117647058823,2.6228139304942353,18
2376.470588235294,inf,18
6752.941176470588,2.385010858043371,18
6752.941176470588,2.385010858043371,18
6752.941176470588,2.385010858043371,18
6752.941176470588,2.385010858043371,18
6752.941176470588,2.385010858043371,18
6752.941176470588,2.385010858043371,18
2341.176470588235,inf,18
6752.941176470588,2.385010858043371,18
6752.941176470588,2.385010858043371,18
6752.941176470588,2.385010858043371,18
6752.941176470588,2.385010858043371,18
6752.941176470588,2.385010858043371,18
6752.941176470588,2.385010858043371,18
6752.941176470588,2.385010858043371,18
6752.941176470588,2.385010858043371,18
6752.941176470588,2.385010858043371,19
6752.941176470588,2.385010858043371,19
6752.941176470588,2.385010858043371,19
6752.941176470588,2.385010858043371,19
6752.941176470588,2.385010858043371,19
6752.941176470588,2.385010858043371,19
5623.529411764706,inf,19
2447.0588235294117,inf,19
6752.941176470588,2.385010858043371,19
2200.0,inf,19
6752.941176470588,2.385010858043371,19
6752.941176470588,2.385010858043371,19
6752.941176470588,2.385010858043371,19
6752.941176470588,2.385010858043371,19
6752.941176470588,2.385010858043371,19
6752.941176470588,2.385010858043371,19
6752.941176470588,2.385010858043371,19
6752.941176470588,2.385010858043371,19
6752.941176470588,2.385010858043371,19
6752.941176470588,2.385010858043371,19
2376.470588235294,inf,19
6752.941176470588,2.385010858043371,19
6682.35294117647,inf,19
6752.941176470588,2.385010858043371,19
6752.941176470588,2.385010858043371,19
6752.941176470588,2.385010858043371,19
6752.941176470588,2.385010858043371,19
6752.941176470588,2.385010858043371,19
6752.941176470588,2.385010858043371,19
6752.941176470588,2.385010858043371,19
6752.941176470588,2.385010858043371,19
6752.941176470588,2.385010858043371,19
9576.470588235294,28.972244283335822,19
1282.3529411764707,inf,19
4141.176470588235,inf,19
2447.0588235294117,inf,19
6964.705882352941,inf,19
6258.823529411765,inf,19
9364.70588235294,18.988740744766545,19
4952.941176470588,inf,19
2305.8823529411766,inf,19
1988.235294117647,inf,19
3435.294117647059,inf,19
6435.294117647059,inf,19
7000.0,2.7310157607151586,19
3576.470588235294,inf,19
2023.5294117647059,inf,19
5976.470588235294,inf,19
3894.1176470588234,inf,19
5870.588235294118,inf,19
8835.29411764706,9.474430808842028,19
8164.705882352941,5.3292485001927945,19
1105.8823529411766,inf,19
6788.235294117647,2.48133573804663,19
9576.470588235294,28.972244283335822,19
3152.9411764705883,inf,19
7176.470588235294,3.114351845026216,20
8941.176470588234,10.241547935372774,20
6752.941176470588,2.385010858043371,20
9576.470588235294,28.972244283335822,20
8164.705882352941,5.3292485001927945,20
8164.705882352941,5.3292485001927945,20
6752.941176470588,2.385010858043371,20
6752.941176470588,2.385010858043371,20
3294.1176470588234,inf,20
7035.294117647059,2.7847385638942983,20
6752.941176470588,2.385010858043371,20
6435.294117647059,inf,20
9541.176470588236,27.16735355539049,20
7000.0,2.7310157607151586,20
6823.529411764706,2.5496635468606743,20
7423.529411764706,3.411196682554904,20
6682.35294117647,inf,20
5729.411764705882,inf,20
6752.941176470588,2.385010858043371,20
6752.941176470588,2.385010858043371,20
7035.294117647059,2.7847385638942983,20
6717.64705882353,inf,20
2447.0588235294117,inf,20
9364.70588235294,18.988740744766545,20
8164.705882352941,5.3292485001927945,20
7000.0,2.7310157607151586,20
3505.8823529411766,inf,20
6682.35294117647,inf,20
7035.294117647059,2.7847385638942983,20
5623.529411764706,inf,20
8094.117647058823,5.2980422207848745,20
1741.1764705882351,inf,20
6752.941176470588,2.385010858043371,21
6752.941176470588,2.385010858043371,21
9435.29411764706,21.08558353438671,21
8941.176470588234,10.241547935372774,21
6929.411764705882,2.662324905305432,21
6152.941176470588,inf,21
6752.941176470588,2.385010858043371,21
6682.35294117647,inf,21
7423.529411764706,3.411196682554904,21
6435.294117647059,inf,21
9294.117647058823,15.89063326056759,21
9364.70588235294,18.988740744766545,21
7035.294117647059,2.7847385638942983,21
7035.294117647059,2.7847385638942983,21
6435.294117647059,inf,21
6823.529411764706,2.5496635468606743,21
7105.882352941177,2.8673274360058856,21
6894.117647058823,2.6228139304942353,21
6752.941176470588,2.385010858043371,21
6752.941176470588,2.385010858043371,21
6752.941176470588,2.385010858043371,21
6752.941176470588,2.385010858043371,21
6752.941176470588,2.385010858043371,21
6752.941176470588,2.385010858043371,21
7035.294117647059,2.7847385638942983,21
7000.0,2.7310157607151586,21
7000.0,2.7310157607151586,21
7035.294117647059,2.7847385638942983,21
5905.882352941177,inf,21
4635.2941176470595,inf,21
2447.0588235294117,inf,21
6717.64705882353,inf,21
7282.35294117647,3.19891795101543,22
6752.941176470588,2.385010858043371,22
6752.941176470588,2.385010858043371,22
6752.941176470588,2.385010858043371,22
6682.35294117647,inf,22
7458.823529411765,3.6231061948475536,22
9576.470588235294,28.972244283335822,22
6752.941176470588,2.385010858043371,22
9294.117647058823,15.89063326056759,22
6823.529411764706,2.5496635468606743,22
9717.64705882353,44.62242168168181,22
9964.70588235294,147.71161227329603,22
7000.0,2.7310157607151586,22
6752.941176470588,2.385010858043371,22
6752.941176470588,2.385010858043371,22
6752.941176470588,2.385010858043371,22
6752.941176470588,2.385010858043371,22
6752.941176470588,2.385010858043371,22
6752.941176470588,2.385010858043371,22
7035.294117647059,2.7847385638942983,22
6752.941176470588,2.385010858043371,22
5905.882352941177,inf,22
6752.941176470588,2.385010858043371,22
2376.470588235294,inf,22
5870.588235294118,inf,22
9011.764705882353,11.233592068011784,22
6752.941176470588,2.385010858043371,22
7035.294117647059,2.7847385638942983,22
7000.0,2.7310157607151586,22
6752.941176470588,2.385010858043371,22
9435.29411764706,21.08558353438671,22
6752.941176470588,2.385010858043371,22
