hinge2joint,piston_area,accum_volume,accum_P0,fitness,generation
0.5741176470588235,0.7423529411764707,0.05698039215686275,5.0588235294117645,[48894656.42086114],1
0.9411764705882353,0.7705882352941176,0.8556470588235294,5.047058823529412,[1.44106977e+09],1
1.308235294117647,0.76,0.7851764705882354,4.811764705882353,[79820833.19071935],1
1.2776470588235296,0.7494117647058823,4.167764705882353,5.047058823529412,[1.47057009e+09],1
1.0635294117647058,0.851764705882353,5.201333333333333,4.811764705882353,[3.1225615e+09],1
0.5741176470588235,0.7705882352941176,0.08047058823529411,5.435294117647059,[69477272.88736202],1
2.6541176470588232,0.8058823529411765,1.959686274509804,5.894117647058824,inf,1
0.8188235294117646,0.20588235294117646,1.7012941176470588,5.694117647058824,[36738634.88084541],1
1.323529411764706,0.7388235294117647,5.2483137254901955,5.8235294117647065,[8.37034139e+08],1
1.3388235294117647,0.6929411764705883,0.6207450980392157,3.4705882352941178,[4.90445586e+09],1
0.17647058823529413,0.8694117647058824,4.590588235294117,4.341176470588235,[1.21360369e+08],1
1.308235294117647,0.7705882352941176,0.9261176470588236,5.9411764705882355,[16681037.11707801],1
3.1588235294117646,0.43529411764705883,1.4429019607843137,4.811764705882353,[865034.51495937],1
1.4305882352941177,0.7423529411764707,0.08047058823529411,5.870588235294118,[692232.82074198],1
0.5435294117647058,0.8588235294117647,0.3388627450980392,5.247058823529412,[2.36957555e+08],1
3.5411764705882356,0.18823529411764706,2.006666666666667,4.988235294117647,[1.40341887e+09],1
0.9411764705882353,0.3647058823529412,0.3153725490196079,5.047058823529412,[35581501.15992516],1
2.0270588235294116,0.1211764705882353,0.8556470588235294,5.576470588235294,[24481147.76210041],1
2.18,0.5094117647058823,0.8086666666666666,5.188235294117647,[3119150.01679635],1
1.5529411764705883,0.13529411764705884,3.063725490196078,3.4235294117647057,[1.24760292e+08],1
0.49764705882352933,0.4494117647058824,0.9261176470588236,5.364705882352942,[28555042.41039312],1
2.18,0.5094117647058823,0.8086666666666666,5.188235294117647,[3119150.01679635],1
2.18,0.5094117647058823,0.8086666666666666,5.188235294117647,[3119150.01679635],1
1.583529411764706,0.1811764705882353,0.36235294117647066,5.8235294117647065,[18037350.58790601],1
1.3847058823529412,0.88,5.271803921568627,3.4941176470588236,[2231979.32997391],1
1.9352941176470588,0.20588235294117646,2.6409019607843134,4.905882352941177,[3.15233103e+08],2
0.8188235294117646,0.5447058823529412,0.832156862745098,5.647058823529411,[2.58973564e+08],2
1.4000000000000001,0.20941176470588235,0.36235294117647066,5.8235294117647065,[19952292.47334601],2
1.6905882352941175,0.851764705882353,5.271803921568627,3.4941176470588236,inf,2
0.9564705882352941,0.64,2.006666666666667,5.047058823529412,[2.13670418e+09],2
1.92,0.1388235294117647,1.7012941176470588,4.176470588235294,[57687332.55578936],2
3.1588235294117646,0.43529411764705883,1.4429019607843137,4.705882352941177,[877614.17346193],2
1.9047058823529412,0.6541176470588236,5.741607843137254,5.564705882352941,[2505028.22250471],2
1.2776470588235296,0.16705882352941176,4.308705882352942,3.8941176470588235,[1.03337193e+08],2
2.608235294117647,0.5058823529411764,0.8791372549019608,5.070588235294117,[530665.4236699],2
1.9047058823529412,0.6152941176470588,4.12078431372549,5.08235294117647,[2888878.44664494],2
0.5741176470588235,0.7423529411764707,0.05698039215686275,5.0588235294117645,[48894656.42086114],2
2.2870588235294114,0.7494117647058823,0.8086666666666666,5.188235294117647,inf,2
0.8341176470588234,0.5094117647058823,0.761686274509804,5.047058823529412,[1.9220459e+08],2
1.5529411764705883,0.11411764705882353,0.8086666666666666,4.929411764705883,[16320008.62377313],2
2.6694117647058824,0.5305882352941177,3.063725490196078,3.682352941176471,inf,2
0.6964705882352941,0.6576470588235295,2.0771372549019604,5.694117647058824,[6.48491017e+08],2
0.2988235294117647,0.17764705882352944,3.4395686274509805,4.9411764705882355,[5.24534611e+09],2
1.5223529411764707,0.8588235294117647,0.3388627450980392,5.247058823529412,inf,2
0.40588235294117647,0.88,5.271803921568627,3.4941176470588236,[1.56918917e+09],2
2.608235294117647,0.5058823529411764,4.261725490196079,5.070588235294117,[1988427.19259056],2
2.608235294117647,0.4776470588235294,4.261725490196079,5.070588235294117,[3032053.54212776],2
1.323529411764706,0.27294117647058824,0.3153725490196079,5.8235294117647065,[36469714.65123887],2
2.18,0.9611764705882353,1.4194117647058826,5.564705882352941,inf,2
0.23764705882352943,0.7988235294117647,5.48321568627451,4.788235294117647,[1.15121318e+08],2
1.308235294117647,0.76,0.7851764705882354,5.0,[1.98044323e+08],2
0.26823529411764707,0.7423529411764707,0.05698039215686275,5.023529411764706,[6599624.40286369],2
2.2105882352941175,0.4882352941176471,2.6878823529411764,5.858823529411765,[28067698.62183965],2
0.2988235294117647,0.17058823529411765,0.8086666666666666,5.1764705882352935,[1.55116088e+09],2
2.18,0.5164705882352941,3.4395686274509805,4.952941176470588,[8144642.00824458],2
2.7611764705882353,0.5094117647058823,0.832156862745098,5.141176470588235,inf,2
2.2258823529411766,0.3788235294117648,1.4898823529411764,4.811764705882353,[1.90166046e+09],2
